frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
False,0.9971166849136353,0.978600025177002,0.9492333333333334,0.9427,0.9439,0.94595,0.9871666666666666,0.9705,0.9717,0.9848166666666667,0.9950666666666667,0.9767,0.9776,0.9945666666666667,0.9975166666666667,0.9786,0.9793,0.9973833333333333,0.9978166666666667,0.9781,0.9791,0.9974833333333334,0.9973166666666666,0.9781,0.9786,0.9970666666666667
False,0.9977499842643738,0.9785000085830688,0.9436666666666667,0.9405,0.9406,0.9383833333333333,0.98555,0.9712,0.9719,0.9830666666666666,0.99565,0.9764,0.9767,0.9952833333333333,0.9981833333333333,0.9777,0.9776,0.9980166666666667,0.9983,0.9783,0.9794,0.9984333333333333,0.9984833333333333,0.9792,0.979,0.9982666666666666
False,0.9974499940872192,0.9761000275611877,0.9441666666666667,0.9403,0.9395,0.9397666666666666,0.9872833333333333,0.9685,0.9715,0.9853166666666666,0.9955833333333334,0.9758,0.9767,0.9952666666666666,0.99755,0.9785,0.9789,0.9975333333333334,0.99785,0.9759,0.9777,0.9973,0.9973166666666666,0.9745,0.9767,0.9978333333333333
False,0.9980833530426025,0.9797999858856201,0.9498333333333333,0.9447,0.9453,0.9460333333333333,0.9865666666666667,0.9733,0.9737,0.98395,0.9963,0.9775,0.9773,0.9952666666666666,0.9979833333333333,0.98,0.9803,0.9975333333333334,0.9977,0.9793,0.9807,0.9972,0.9975333333333334,0.9797,0.9797,0.9974166666666666
False,0.9980999827384949,0.9790999889373779,0.9475833333333333,0.942,0.9415,0.9425,0.9862666666666666,0.9707,0.9727,0.9837833333333333,0.9950833333333333,0.9778,0.9773,0.99395,0.99815,0.9777,0.9793,0.9977666666666667,0.99835,0.9778,0.9786,0.9978833333333333,0.9982,0.9777,0.9782,0.9979833333333333
False,0.9977999925613403,0.9768999814987183,0.9429166666666666,0.9378,0.9378,0.9381833333333334,0.98535,0.9703,0.9738,0.9836833333333334,0.9946,0.975,0.9759,0.9934166666666666,0.998,0.977,0.9781,0.9977666666666667,0.9984,0.9773,0.978,0.9980833333333333,0.9986,0.9759,0.9772,0.9982666666666666
False,0.9972166419029236,0.9771000146865845,0.9457166666666666,0.9382,0.9411,0.9433833333333334,0.9853833333333334,0.9706,0.9737,0.9823833333333334,0.99585,0.9755,0.9766,0.9952833333333333,0.9981333333333333,0.9774,0.9784,0.9976833333333334,0.9977333333333334,0.978,0.9794,0.99755,0.9982,0.9769,0.9771,0.9981166666666667
False,0.997083306312561,0.9782999753952026,0.9440166666666666,0.9388,0.9409,0.93955,0.9864333333333334,0.9704,0.9726,0.9834333333333334,0.9957333333333334,0.9745,0.9759,0.9949333333333333,0.9984666666666666,0.9766,0.9781,0.9982833333333333,0.99895,0.9779,0.979,0.9985833333333334,0.9989166666666667,0.9776,0.9779,0.9987666666666667
False,0.9978333115577698,0.9800999760627747,0.9424666666666667,0.9381,0.9406,0.9395,0.9872666666666666,0.9692,0.9722,0.9838166666666667,0.9974833333333334,0.975,0.9765,0.9972166666666666,0.9988,0.9789,0.979,0.9980666666666667,0.9991,0.9786,0.9793,0.9989166666666667,0.9992666666666666,0.9779,0.9783,0.9991833333333333
False,0.9977666735649109,0.9767000079154968,0.9420833333333334,0.9365,0.9396,0.9388333333333333,0.9850166666666667,0.9683,0.9702,0.9826666666666667,0.9940833333333333,0.9737,0.9754,0.9932666666666666,0.9971333333333333,0.9761,0.9767,0.9971666666666666,0.9984166666666666,0.9761,0.9781,0.9981,0.9983,0.976,0.9775,0.9980333333333333
False,0.9978166818618774,0.9749000072479248,0.9448333333333333,0.9432,0.9448,0.9396333333333333,0.9861333333333333,0.9708,0.9717,0.9832,0.9945,0.974,0.9751,0.9942,0.9970166666666667,0.9759,0.9765,0.9971666666666666,0.9978,0.9756,0.9772,0.9974,0.9970333333333333,0.9753,0.9768,0.9971166666666667
False,0.9973666667938232,0.9771000146865845,0.9477166666666667,0.9423,0.9438,0.9429833333333333,0.98335,0.9688,0.9706,0.9812,0.994,0.9758,0.9766,0.9940333333333333,0.9969166666666667,0.9779,0.979,0.9965166666666667,0.9973,0.9779,0.9791,0.9967166666666667,0.9972833333333333,0.9775,0.9783,0.9970833333333333
False,0.9978500008583069,0.9772999882698059,0.9444833333333333,0.939,0.9395,0.9387833333333333,0.9884,0.9731,0.9749,0.9870833333333333,0.99475,0.9761,0.9778,0.9947333333333334,0.9976833333333334,0.978,0.9792,0.9976833333333334,0.99795,0.9771,0.9781,0.9978833333333333,0.9976833333333334,0.977,0.9781,0.9976833333333334
False,0.9972166419029236,0.975600004196167,0.9443333333333334,0.938,0.9422,0.94275,0.9866166666666667,0.9715,0.9734,0.98505,0.9933833333333333,0.9752,0.9763,0.99295,0.9958166666666667,0.9772,0.9775,0.99545,0.99665,0.975,0.9769,0.9962333333333333,0.9968666666666667,0.9765,0.9771,0.9968166666666667
False,0.9977333545684814,0.978600025177002,0.9456833333333333,0.9385,0.9396,0.9405833333333333,0.9881666666666666,0.9723,0.9739,0.9854833333333334,0.9954166666666666,0.9772,0.978,0.9944166666666666,0.99755,0.9797,0.9799,0.9972166666666666,0.9979166666666667,0.9794,0.981,0.9971666666666666,0.9977666666666667,0.9787,0.9797,0.9973666666666666
False,0.9979166388511658,0.9761999845504761,0.9438333333333333,0.9373,0.9396,0.9408666666666666,0.98625,0.9714,0.9733,0.9841166666666666,0.99585,0.9768,0.9786,0.9954833333333334,0.9975666666666667,0.9776,0.9779,0.99725,0.9979666666666667,0.9776,0.9794,0.9971,0.9975666666666667,0.9765,0.978,0.9974166666666666
False,0.9978166818618774,0.9782000184059143,0.9485333333333333,0.9427,0.9478,0.9472333333333334,0.9878333333333333,0.9734,0.9755,0.98465,0.9967166666666667,0.979,0.9802,0.99625,0.9985333333333334,0.978,0.9792,0.99835,0.9989833333333333,0.9799,0.9813,0.9988,0.9990166666666667,0.9793,0.9798,0.9990833333333333
False,0.9980666637420654,0.9807000160217285,0.9496666666666667,0.9411,0.9444,0.9486833333333333,0.9866333333333334,0.974,0.9761,0.9840833333333333,0.9955833333333334,0.9786,0.9794,0.9951,0.9977166666666667,0.9788,0.9801,0.9975333333333334,0.9977,0.9796,0.9808,0.99745,0.99795,0.9793,0.9801,0.99775
False,0.996916651725769,0.978600025177002,0.94185,0.9389,0.9412,0.9394333333333333,0.9847166666666667,0.9681,0.9717,0.98235,0.9953166666666666,0.9769,0.9781,0.9949833333333333,0.9971333333333333,0.9794,0.9804,0.9967166666666667,0.9973666666666666,0.9784,0.9803,0.9971333333333333,0.9969333333333333,0.978,0.9798,0.9967
