reservoir_layer_scaling_factor,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
0.5,False,0.8468800187110901,0.46860000491142273,0.44506,0.4342,0.48778,0.4715,0.55364,0.4906,0.6551,0.4883,0.75232,0.4729,0.82282,0.4725
0.5,False,0.8410999774932861,0.460999995470047,0.45328,0.4345,0.4957,0.4736,0.55606,0.4891,0.6578,0.4896,0.75856,0.4698,0.82228,0.4649
0.5,False,0.8345400094985962,0.46540001034736633,0.44512,0.4326,0.49222,0.4645,0.5554,0.4869,0.65394,0.4866,0.75172,0.4676,0.81632,0.4685
0.5,False,0.8395599722862244,0.4641999900341034,0.4496,0.4399,0.4962,0.4716,0.56334,0.4951,0.65724,0.4905,0.75172,0.4758,0.80132,0.4646
0.5,False,0.8493599891662598,0.4560000002384186,0.42466,0.4088,0.48906,0.4667,0.55446,0.4917,0.64994,0.4863,0.74042,0.4689,0.80552,0.4562
0.5,False,0.8359000086784363,0.45559999346733093,0.4386,0.4285,0.48574,0.4584,0.54688,0.4893,0.6357,0.4855,0.71954,0.4694,0.78564,0.4608
0.5,False,0.8410999774932861,0.4602000117301941,0.4495,0.4357,0.49324,0.467,0.5607,0.4911,0.6565,0.4896,0.74496,0.4682,0.79426,0.4627
0.5,False,0.8490599989891052,0.4641000032424927,0.445,0.4381,0.49714,0.4712,0.56124,0.4984,0.6636,0.4831,0.76234,0.4739,0.82736,0.469
0.5,False,0.8309599757194519,0.4706999957561493,0.4571,0.4384,0.50262,0.4751,0.5651,0.4925,0.65918,0.4835,0.74242,0.4738,0.80416,0.4713
0.5,False,0.8422200083732605,0.451200008392334,0.44584,0.4284,0.49076,0.4645,0.55796,0.485,0.65292,0.4762,0.75112,0.4612,0.81878,0.4575
0.5,False,0.8386800289154053,0.45840001106262207,0.44024,0.425,0.49254,0.4704,0.55604,0.4887,0.6442,0.4838,0.72408,0.472,0.78002,0.4693
1,True,0.8786399960517883,0.4648999869823456,0.43668,0.4202,0.49858,0.4728,0.54132,0.4905,0.61458,0.4953,0.66324,0.4985,0.75948,0.4766
1,True,0.8723199963569641,0.4544999897480011,0.43504,0.4243,0.49156,0.4698,0.5295,0.4875,0.59552,0.4907,0.63928,0.4939,0.75018,0.4672
1,True,0.8698800206184387,0.4625999927520752,0.4309,0.4157,0.4957,0.4758,0.5378,0.4897,0.61174,0.4997,0.65236,0.4959,0.75466,0.4659
1,True,0.8753200173377991,0.45989999175071716,0.437,0.4227,0.49668,0.4729,0.52632,0.4815,0.59372,0.4961,0.63324,0.4979,0.75988,0.472
1,True,0.8824599981307983,0.46549999713897705,0.43408,0.4168,0.49644,0.4731,0.5431,0.49,0.60548,0.4979,0.6528,0.4945,0.75228,0.4791
1,True,0.8678399920463562,0.4747999906539917,0.44262,0.4316,0.50188,0.4725,0.54316,0.4863,0.60912,0.5022,0.65412,0.5046,0.76962,0.4797
1,True,0.8750399947166443,0.46869999170303345,0.43304,0.415,0.49546,0.4718,0.53674,0.484,0.59638,0.4993,0.64388,0.4969,0.77218,0.473
1,True,0.881380021572113,0.47450000047683716,0.44392,0.4274,0.50108,0.475,0.548,0.49,0.61758,0.5014,0.66214,0.5015,0.77554,0.484
1,True,0.896619975566864,0.4708999991416931,0.44238,0.4277,0.5002,0.4721,0.54968,0.4864,0.61418,0.4939,0.66286,0.495,0.77824,0.473
1,True,0.8832600116729736,0.46799999475479126,0.43054,0.4186,0.49748,0.4694,0.53926,0.4853,0.60908,0.4963,0.65428,0.5047,0.77054,0.4741
1,True,0.8770599961280823,0.4675000011920929,0.4321,0.4143,0.4963,0.4668,0.5386,0.4824,0.60768,0.4948,0.65528,0.5025,0.78272,0.4761
1,True,0.8779799938201904,0.46000000834465027,0.44126,0.4221,0.50222,0.4712,0.54312,0.4832,0.61178,0.4998,0.65338,0.5023,0.77068,0.4733
1,True,0.8839799761772156,0.46970000863075256,0.43228,0.4254,0.49624,0.471,0.5363,0.4866,0.60436,0.4936,0.6546,0.4979,0.77002,0.4704
1,True,0.8791599869728088,0.4659000039100647,0.44614,0.4323,0.50488,0.4776,0.54232,0.4869,0.61364,0.4963,0.6586,0.5057,0.77136,0.4766
1,True,0.8745200037956238,0.45840001106262207,0.42624,0.4134,0.49542,0.4717,0.5344,0.4885,0.60162,0.4945,0.64432,0.4971,0.7539,0.471
1,True,0.865339994430542,0.45980000495910645,0.43274,0.4227,0.49792,0.4699,0.53716,0.4869,0.59722,0.4897,0.64534,0.4996,0.7571,0.4694
1,True,0.8817800283432007,0.46790000796318054,0.44184,0.4349,0.49858,0.4726,0.54916,0.4861,0.62052,0.4911,0.67054,0.4988,0.77428,0.4743
1,True,0.8762800097465515,0.4713999927043915,0.43574,0.4213,0.49856,0.4729,0.5376,0.4789,0.60744,0.4956,0.65726,0.5026,0.7754,0.4725
1,True,0.8580999970436096,0.45980000495910645,0.433,0.4161,0.49378,0.47,0.53202,0.4889,0.60304,0.4996,0.64376,0.4975,0.74138,0.4712
1,True,0.8711000084877014,0.4693000018596649,0.44664,0.4304,0.50396,0.4796,0.54522,0.4878,0.60942,0.5014,0.6569,0.5001,0.75514,0.4784
1,True,0.8787000179290771,0.475600004196167,0.4383,0.4226,0.49652,0.4716,0.54058,0.4857,0.62112,0.5058,0.6752,0.5015,0.78604,0.4777
1,True,0.8719599843025208,0.4643000066280365,0.45628,0.4354,0.5051,0.4703,0.54108,0.4783,0.60174,0.4951,0.64872,0.4936,0.74504,0.4702
1,True,0.8865200281143188,0.46619999408721924,0.42938,0.42,0.49504,0.4676,0.54868,0.4861,0.61874,0.4988,0.67094,0.5044,0.779,0.4681
1,True,0.8975800275802612,0.46639999747276306,0.43248,0.4203,0.49422,0.4753,0.54356,0.4908,0.61442,0.4942,0.66822,0.4995,0.77496,0.4696
1,True,0.8880599737167358,0.45809999108314514,0.43914,0.4257,0.49604,0.4717,0.54476,0.4928,0.61662,0.5041,0.66912,0.4988,0.77124,0.4713
1,False,0.8654400110244751,0.4523000121116638,0.43746,0.4226,0.5137,0.4808,0.5685,0.4853,0.67102,0.4822,0.78218,0.474,0.83236,0.4577
1,False,0.8699399828910828,0.45260000228881836,0.43718,0.4257,0.50718,0.4822,0.57108,0.4845,0.67604,0.478,0.78674,0.4678,0.83952,0.4562
1,False,0.8790599703788757,0.46299999952316284,0.42574,0.419,0.5055,0.4778,0.56734,0.4893,0.67906,0.4885,0.80438,0.475,0.8665,0.4627
1,False,0.8618000149726868,0.46129998564720154,0.44062,0.4234,0.51686,0.475,0.5781,0.4896,0.6655,0.4908,0.76974,0.4825,0.82714,0.4616
1,False,0.858299970626831,0.4690999984741211,0.43836,0.4288,0.51484,0.4863,0.56802,0.4898,0.65136,0.492,0.75206,0.4841,0.8004,0.4643
1,False,0.8628399968147278,0.46700000762939453,0.43254,0.4192,0.51068,0.4804,0.5736,0.4924,0.67694,0.4886,0.78374,0.4789,0.83848,0.4641
1,False,0.8590400218963623,0.450300008058548,0.44062,0.4273,0.51268,0.4812,0.57226,0.4899,0.6547,0.484,0.7526,0.4694,0.7916,0.4601
1,False,0.8675199747085571,0.4603999853134155,0.42512,0.4162,0.50784,0.4781,0.56562,0.4902,0.6594,0.4846,0.77142,0.4718,0.8336,0.4578
1,False,0.8637599945068359,0.4593999981880188,0.44194,0.423,0.51498,0.4765,0.57494,0.4831,0.67082,0.4785,0.77708,0.4781,0.83742,0.458
1,False,0.8721200227737427,0.4575999975204468,0.43342,0.4219,0.51192,0.4769,0.57672,0.4879,0.67766,0.4864,0.79064,0.4738,0.85334,0.4613
1,False,0.8622000217437744,0.4537000060081482,0.4297,0.4226,0.5076,0.477,0.57144,0.4956,0.66522,0.4915,0.77722,0.4734,0.83564,0.4581
1,False,0.8650199770927429,0.44679999351501465,0.41918,0.41,0.50118,0.4774,0.55964,0.4855,0.65182,0.4788,0.7671,0.4625,0.8202,0.4363
1,False,0.8593999743461609,0.4595000147819519,0.42146,0.4108,0.50668,0.4846,0.55546,0.485,0.64172,0.4817,0.7529,0.4724,0.82596,0.4593
1,False,0.8599600195884705,0.45969998836517334,0.43266,0.427,0.50762,0.4819,0.56786,0.4929,0.66226,0.4903,0.7658,0.474,0.81468,0.4589
1,False,0.8715800046920776,0.45910000801086426,0.4426,0.431,0.5107,0.4825,0.57294,0.4898,0.67444,0.4873,0.7902,0.4711,0.84266,0.4511
1,False,0.8757200241088867,0.45989999175071716,0.43826,0.4259,0.50986,0.4774,0.57672,0.4922,0.67578,0.4883,0.80338,0.478,0.86956,0.4624
1,False,0.8737199902534485,0.451200008392334,0.43048,0.4183,0.50674,0.4781,0.56704,0.4875,0.66512,0.4783,0.76822,0.4698,0.82428,0.4511
1,False,0.8667600154876709,0.460099995136261,0.43648,0.4247,0.50966,0.4842,0.57316,0.4868,0.66254,0.4829,0.77082,0.4709,0.8296,0.4561
1,False,0.8812199831008911,0.4636000096797943,0.43412,0.4288,0.51188,0.4811,0.57148,0.4913,0.66998,0.4924,0.78984,0.4773,0.84458,0.4649
1,False,0.8563200235366821,0.45910000801086426,0.43412,0.4208,0.5088,0.4795,0.56528,0.4836,0.65894,0.4824,0.76638,0.4778,0.82362,0.4631
1,False,0.8789200186729431,0.45170000195503235,0.42392,0.421,0.50804,0.478,0.5678,0.4854,0.6651,0.4794,0.7658,0.4652,0.80808,0.4505
1,False,0.8783599734306335,0.4643000066280365,0.42472,0.4157,0.5083,0.48,0.56884,0.4871,0.65716,0.4831,0.76352,0.4755,0.81796,0.4647
1,False,0.8647599816322327,0.45419999957084656,0.43222,0.4252,0.51176,0.4819,0.56846,0.4916,0.66394,0.4853,0.7578,0.4682,0.80676,0.4603
1,False,0.8669000267982483,0.46239998936653137,0.43492,0.4177,0.51132,0.4805,0.56884,0.4934,0.65156,0.4841,0.76228,0.4813,0.81758,0.4648
1,False,0.8741199970245361,0.46320000290870667,0.44162,0.4307,0.51546,0.4857,0.57552,0.4954,0.67898,0.4894,0.79388,0.4657,0.84042,0.4521
2,True,0.850059986114502,0.462799996137619,0.45502,0.4355,0.53188,0.4933,0.54058,0.4808,0.6141,0.4994,0.65514,0.5017,0.74554,0.4712
2,True,0.8547599911689758,0.4560999870300293,0.43418,0.4182,0.51794,0.4859,0.51912,0.4761,0.5901,0.4972,0.63454,0.4975,0.71948,0.469
2,True,0.853659987449646,0.474700003862381,0.44572,0.4308,0.5264,0.4889,0.54546,0.4891,0.62244,0.5027,0.67204,0.5069,0.76256,0.4669
2,True,0.8386399745941162,0.46459999680519104,0.42998,0.4205,0.52246,0.4855,0.53122,0.48,0.60056,0.5003,0.644,0.5018,0.73484,0.4719
2,True,0.861240029335022,0.47049999237060547,0.4361,0.4234,0.52306,0.4896,0.53902,0.4902,0.61294,0.5028,0.6568,0.5108,0.74162,0.4671
2,True,0.8492199778556824,0.46650001406669617,0.4556,0.4322,0.5363,0.4895,0.54406,0.4891,0.62266,0.5051,0.66622,0.5075,0.75392,0.4706
2,True,0.8439000248908997,0.4666000008583069,0.4359,0.4241,0.52226,0.4871,0.5304,0.479,0.60208,0.4933,0.6452,0.4985,0.73814,0.4713
2,True,0.83788001537323,0.45989999175071716,0.44,0.4216,0.52662,0.4927,0.53342,0.4785,0.61274,0.4987,0.6587,0.5027,0.73774,0.4695
2,True,0.8664399981498718,0.4562000036239624,0.43458,0.427,0.52044,0.4855,0.52722,0.4766,0.60812,0.4896,0.65898,0.4931,0.77084,0.4647
2,True,0.8713399767875671,0.45969998836517334,0.44686,0.4295,0.52674,0.4852,0.53694,0.4787,0.60728,0.4914,0.64914,0.5014,0.73288,0.4631
